,screenName,userId,text,location,multi-team
0,Shrupti,60885990,It’s coming home #England https://t.co/jGuIRBj46I,"Arlington, VA",False
1,PropSwap,2862104585,SOLD! This Croatia to Win the #WorldCup ticket was just purchased for $250. Those are Odds of 4.2/1 - better than a… https://t.co/aLuRkDhqBa,"Enterprise, NV",False
2,MentorPlanet,86502570,#France is pledging €1.5 billion pure government funding for AI until 2022 #innovation #disruption #AI https://t.co/GitqPh3XNZ,"Minneapolis, MN",False
3,NFLMarquise,907610098801025024,".@MDbankroll Thanks to you for being my 300th follower! Tomorrow, i will have a contest for all during the #FRA and… https://t.co/pIFmu4elKN","Moon, PA",False
4,FassiCarlo,915223567,.@GianluigiBuffon says “France is the most serious semifinalist capable of winning the #FIFAWorldCup” based on thei… https://t.co/8YrwXLuREp,"Winter Haven, FL",False
5,Caitlin11790,916015160,People at my work are emailing and calling asking me what 'It's Coming Home' is all about ??????????#ThreeLions #Worldcup,"Clinton, MI",False
6,faustaLV,260340720,??Pure moment of love ??#motherandson #love #mood #monday #picoftheday #photooftheday #me #myson #myworld… https://t.co/WfwyMmrupU,"Las Vegas, NV",False
7,Miiikey,15495586,"@DannyWelbeck Welbz, how many retweets for a World Cup Final ticket if we win on Wednesday? #DatGuy #ItsComingHome… https://t.co/ze6CqiQSzp","San Diego, CA",False
8,TheRealPolyG,539082241,These World Snooze off days have been throwing off my sleep schedule. Is today Tuesday? #WorldCup,"Philadelphia, PA",False
9,vivathematadors,17922364,We made it #worldcup https://t.co/tIxmyhAbGz,"Lubbock, TX",False
10,BFawkesESPN,214175859,"So excited for these matches. Here are your best #worldcup semifinal bets from @james_eastham:

https://t.co/vj14c9oRMN","Paradise, NV",False
11,yangmetalrat,3533711363,@KinJesus1 @Sadiqalmustafi @RMadridBabe Let's take a look at the betting odds of England to win the #WorldCup compa… https://t.co/pDwSouCo1z,"Missouri, USA",False
12,punchingpandas,18222598,"Steal
#PunchingPandas #?? #worldcup #uk #sweden #soccerpandas #futbolpandas #futbol #soccer https://t.co/TLgnUAjzL6","Kirkland, WA",False
13,rcmercado,348963612,Austin and other TX markets rank among top combined  English/Spanish speaking #WorldCup broadcasts is US #MLS2ATX… https://t.co/otrkML3Ax5,"Texas, USA",False
14,oranaise,21062787,@ColinMeredith52 @fifa @FIFA offered the #Thailand boys seats at #WorldCup three days ago; let's cross fingers to m… https://t.co/kPgp67hJpT,"Austin, TX",False
15,2twitme,15774651,More data-driven footie for those absorbed by #WorldCup https://t.co/fHdkRZQ4ow,"Oakland, CA",False
16,EricLopezELO,35140301,Back today and Tuesday on @969thegame filling in once again on #TheFinishLine 3-6pm talking #Magic #NBASummerLeague… https://t.co/FPpqi0E5MU,"Florida, USA",False
17,SFYouthSoccer,802955928,"#FRABEL Tomorrow @ 11am, Sue Bierman Plaza (Ferry Building) - See your favorite SFYS junior coaches, play a little… https://t.co/5BhFBV5l3W","San Francisco, CA",False
18,chris_renne,297085892,"Crazy week last week, Episode 18 coming around 3 PM E #Boogie #UFC226 #WorldCup and a lot more @mbasementprod… https://t.co/Yy53mbGFv3","Ladera Ranch, CA",False
19,bornking1,278257450,"Come This Tuesday #july 10th #worldcup #edison wear your favorite #countries #soccer #teamjersey ???
Use… https://t.co/6akmQnNIfu","Manhattan, NY",False
20,Shaliciakins,26329480,I bet $50 Croatia takes it all. ? #WorldCup,"Oklahoma, USA",False
21,WakeTechAbroad,971773698205192192,OOH LA LA! @WakeTechAbroad will be headed to #Paris #France in the summer of 2019! There’s no better place to exper… https://t.co/HuOHjHhTFf,Wake Tech - Northern Wake Campus,False
22,NewYorkBeerCo,466055902,Take a late lunch or (early happy hour) &amp; watch #WorldCup #BELFRA in #NYC with us on 27 screens  https://t.co/wWcOWfx9bj,"Manhattan, NY",False
23,jamespowell363,20033461,"This summer is mental , actually agreeing with @RobbieSavage8 #WorldCup #eng #itscominghome ?????????? https://t.co/lU5f6xFNX6","Irvine, CA",False
24,wegotsoccer,49293870,"Down to the final 4??. Who will win the ??

#WeGotSoccer #WGS #WorldCup https://t.co/mA3ab2ulWA",We Got Soccer,False
25,ian_leonard,16929450,Have not washed the #England jersey yet! #superstitious https://t.co/yrjX0w4fc2,"Eden Prairie, MN",False
26,BABIDOLL301,747596867752628224,#Usa #UnitedKingdom #England #Indiana #Indianapolis #Chicago #Illinois #Springfield #Arizona #Montana #ListenTo… https://t.co/QDSP7DVuGL,"Killeen, TX",False
27,DZarrella12,909161862,"Alza la coppa, capitano! Alzala alta al cielo, capitano, perché questa è la coppa di tutti gli Italiani! Perché ogg… https://t.co/iS67ZbMiOm","Cranston, RI",False
28,TheSmashSimmons,315956851,Looking forward to seeing everyone come out to @littlewoodrow on Burnet Rd. for The Final! #WorldCup #Austin https://t.co/niwxMB3UEx,"Austin, TX",False
29,RevBradleyUMC,825827477725519872,@ColinCowherd did you really just say @HKane is the only star left in the #WorldCup ? I suggest you do some researc… https://t.co/q2noIi45bS,"Parkersburg, WV",False
30,oranaise,21062787,@ViratKohlisEra @FIFAWorldCup I've said it before and I'll say it again; #Brazil lost because of #Neymar and he use… https://t.co/XGhMVIXIcT,"Austin, TX",False
31,Bento_On,181168323,"Today one more team is ,,, Argentina ???
Hope they will match each other.....oh boy(?????????)
????????????????????… https://t.co/FIXv9IXFLR","Manhattan, NY",False
32,trevaholmes_,37620852,VIDEO OUT NOW?????? @trevaholmes_ Follow and add #NightsinRoxbury to your playlist now best video clips will win me… https://t.co/NZZBWYgoN5,"Brookhaven, GA",False
33,Bento_On,181168323,"Today is ,,,,,,  Germany ??
??????????????
#germany #Rotkohl 
#fifa #worldcup #soccer #morocco  #mexico #brazil… https://t.co/vg136cofKa","Manhattan, NY",False
34,Justiceyes,251216095,"Perhaps Putin can just have them murdered, like he does with so many journalists.
Oh, right, he’ll be busy with ass… https://t.co/IpfU2io7kH","Mukwonago, WI",False
35,MickeyByrnesPub,28052792,It's World Cup Semi Finals this week..everyone who's picks the correct two winners in the comments section enters a… https://t.co/UrDCMqXYQE,"Hollywood, FL",False
36,mismatchit,175268917,#ThaiCaveRescue #ThailandCaveRescue #Thailand #worldcup #soccer https://t.co/2jUpLlIkj0,"Chicago, IL",False
37,TedKottler,194713944,"Underground pub raises the bar for England fans #ENG #WorldCup #HermosaBeach #SouthBay 
https://t.co/K8ZJed4tQD via @Beach_Reporter","Redondo Beach, CA",False
38,RAMSES_HEEL09,101931530,aww I hear #Ochoa was rated#1 #goalie for the #WorldCup #Mexico,"Dallas, TX",False
39,ChiliChiliMango,852322190095601664,"What ice cream treat did you have this weekend?
.
.
.
#icecreamtruck #icecream #setlife #LosAngeles #comiccon… https://t.co/OMROkx3vAM","Los Angeles, CA",False
40,luzzialo,2759434221,"Tall, buff, Mulattos are so pleasing to look at, ??? #WorldCup","Miami Beach, FL",False
