id,screenName,userId,text,location,multi-team,sentiment
0,Shrupti,60885990,It’s coming home #England https://t.co/jGuIRBj46I,"Arlington, VA",FALSE,pos
1,PropSwap,2862104585,SOLD! This Croatia to Win the #WorldCup ticket was just purchased for $250. Those are Odds of 4.2/1 - better than a… https://t.co/aLuRkDhqBa,"Enterprise, NV",FALSE,nan
2,MentorPlanet,86502570,#France is pledging €1.5 billion pure government funding for AI until 2022 #innovation #disruption #AI https://t.co/GitqPh3XNZ,"Minneapolis, MN",FALSE,nan
3,NFLMarquise,9.08E+17,".@MDbankroll Thanks to you for being my 300th follower! Tomorrow, i will have a contest for all during the #FRA and… https://t.co/pIFmu4elKN","Moon, PA",FALSE,nan
4,FassiCarlo,915223567,.@GianluigiBuffon says “France is the most serious semifinalist capable of winning the #FIFAWorldCup” based on thei… https://t.co/8YrwXLuREp,"Winter Haven, FL",FALSE,pos
5,Caitlin11790,916015160,People at my work are emailing and calling asking me what 'It's Coming Home' is all about ??????????#ThreeLions #Worldcup,"Clinton, MI",FALSE,pos
6,faustaLV,260340720,??Pure moment of love ??#motherandson #love #mood #monday #picoftheday #photooftheday #me #myson #myworld… https://t.co/WfwyMmrupU,"Las Vegas, NV",FALSE,nan
7,Miiikey,15495586,"@DannyWelbeck Welbz, how many retweets for a World Cup Final ticket if we win on Wednesday? #DatGuy #ItsComingHome… https://t.co/ze6CqiQSzp","San Diego, CA",FALSE,pos
8,TheRealPolyG,539082241,These World Snooze off days have been throwing off my sleep schedule. Is today Tuesday? #WorldCup,"Philadelphia, PA",FALSE,nan
9,vivathematadors,17922364,We made it #worldcup https://t.co/tIxmyhAbGz,"Lubbock, TX",FALSE,nan
10,BFawkesESPN,214175859,"So excited for these matches. Here are your best #worldcup semifinal bets from @james_eastham:

https://t.co/vj14c9oRMN","Paradise, NV",FALSE,nan
11,yangmetalrat,3533711363,@KinJesus1 @Sadiqalmustafi @RMadridBabe Let's take a look at the betting odds of England to win the #WorldCup compa… https://t.co/pDwSouCo1z,"Missouri, USA",FALSE,pos
12,punchingpandas,18222598,"Steal
#PunchingPandas #?? #worldcup #uk #sweden #soccerpandas #futbolpandas #futbol #soccer https://t.co/TLgnUAjzL6","Kirkland, WA",FALSE,nan
13,rcmercado,348963612,Austin and other TX markets rank among top combined  English/Spanish speaking #WorldCup broadcasts is US #MLS2ATX… https://t.co/otrkML3Ax5,"Texas, USA",FALSE,nan
14,oranaise,21062787,@ColinMeredith52 @fifa @FIFA offered the #Thailand boys seats at #WorldCup three days ago; let's cross fingers to m… https://t.co/kPgp67hJpT,"Austin, TX",FALSE,nan
15,2twitme,15774651,More data-driven footie for those absorbed by #WorldCup https://t.co/fHdkRZQ4ow,"Oakland, CA",FALSE,nan
16,EricLopezELO,35140301,Back today and Tuesday on @969thegame filling in once again on #TheFinishLine 3-6pm talking #Magic #NBASummerLeague… https://t.co/FPpqi0E5MU,"Florida, USA",FALSE,nan
17,SFYouthSoccer,802955928,"#FRABEL Tomorrow @ 11am, Sue Bierman Plaza (Ferry Building) - See your favorite SFYS junior coaches, play a little… https://t.co/5BhFBV5l3W","San Francisco, CA",FALSE,nan
18,chris_renne,297085892,"Crazy week last week, Episode 18 coming around 3 PM E #Boogie #UFC226 #WorldCup and a lot more @mbasementprod… https://t.co/Yy53mbGFv3","Ladera Ranch, CA",FALSE,nan
19,bornking1,278257450,"Come This Tuesday #july 10th #worldcup #edison wear your favorite #countries #soccer #teamjersey ???
Use… https://t.co/6akmQnNIfu","Manhattan, NY",FALSE,nan
20,Shaliciakins,26329480,I bet $50 Croatia takes it all. ? #WorldCup,"Oklahoma, USA",FALSE,pos
21,WakeTechAbroad,9.72E+17,OOH LA LA! @WakeTechAbroad will be headed to #Paris #France in the summer of 2019! There’s no better place to exper… https://t.co/HuOHjHhTFf,Wake Tech - Northern Wake Campus,FALSE,nan
22,NewYorkBeerCo,466055902,Take a late lunch or (early happy hour) &amp; watch #WorldCup #BELFRA in #NYC with us on 27 screens  https://t.co/wWcOWfx9bj,"Manhattan, NY",FALSE,nan
23,jamespowell363,20033461,"This summer is mental , actually agreeing with @RobbieSavage8 #WorldCup #eng #itscominghome ?????????? https://t.co/lU5f6xFNX6","Irvine, CA",FALSE,pos
24,wegotsoccer,49293870,"Down to the final 4??. Who will win the ??

#WeGotSoccer #WGS #WorldCup https://t.co/mA3ab2ulWA",We Got Soccer,FALSE,nan
25,ian_leonard,16929450,Have not washed the #England jersey yet! #superstitious https://t.co/yrjX0w4fc2,"Eden Prairie, MN",FALSE,pos
26,BABIDOLL301,7.48E+17,#Usa #UnitedKingdom #England #Indiana #Indianapolis #Chicago #Illinois #Springfield #Arizona #Montana #ListenTo… https://t.co/QDSP7DVuGL,"Killeen, TX",FALSE,nan
27,DZarrella12,909161862,"Alza la coppa, capitano! Alzala alta al cielo, capitano, perché questa è la coppa di tutti gli Italiani! Perché ogg… https://t.co/iS67ZbMiOm","Cranston, RI",FALSE,nan
28,TheSmashSimmons,315956851,Looking forward to seeing everyone come out to @littlewoodrow on Burnet Rd. for The Final! #WorldCup #Austin https://t.co/niwxMB3UEx,"Austin, TX",FALSE,nan
29,RevBradleyUMC,8.26E+17,@ColinCowherd did you really just say @HKane is the only star left in the #WorldCup ? I suggest you do some researc… https://t.co/q2noIi45bS,"Parkersburg, WV",FALSE,nan
30,oranaise,21062787,@ViratKohlisEra @FIFAWorldCup I've said it before and I'll say it again; #Brazil lost because of #Neymar and he use… https://t.co/XGhMVIXIcT,"Austin, TX",FALSE,pos
31,Bento_On,181168323,"Today one more team is ,,, Argentina ???
Hope they will match each other.....oh boy(?????????)
????????????????????… https://t.co/FIXv9IXFLR","Manhattan, NY",FALSE,nan
32,trevaholmes_,37620852,VIDEO OUT NOW?????? @trevaholmes_ Follow and add #NightsinRoxbury to your playlist now best video clips will win me… https://t.co/NZZBWYgoN5,"Brookhaven, GA",FALSE,nan
33,Bento_On,181168323,"Today is ,,,,,,  Germany ??
??????????????
#germany #Rotkohl 
#fifa #worldcup #soccer #morocco  #mexico #brazil… https://t.co/vg136cofKa","Manhattan, NY",FALSE,nan
34,Justiceyes,251216095,"Perhaps Putin can just have them murdered, like he does with so many journalists.
Oh, right, he’ll be busy with ass… https://t.co/IpfU2io7kH","Mukwonago, WI",FALSE,nan
35,MickeyByrnesPub,28052792,It's World Cup Semi Finals this week..everyone who's picks the correct two winners in the comments section enters a… https://t.co/UrDCMqXYQE,"Hollywood, FL",FALSE,nan
36,mismatchit,175268917,#ThaiCaveRescue #ThailandCaveRescue #Thailand #worldcup #soccer https://t.co/2jUpLlIkj0,"Chicago, IL",FALSE,nan
37,TedKottler,194713944,"Underground pub raises the bar for England fans #ENG #WorldCup #HermosaBeach #SouthBay 
https://t.co/K8ZJed4tQD via @Beach_Reporter","Redondo Beach, CA",FALSE,pos
38,RAMSES_HEEL09,101931530,aww I hear #Ochoa was rated#1 #goalie for the #WorldCup #Mexico,"Dallas, TX",FALSE,nan
39,ChiliChiliMango,8.52E+17,"What ice cream treat did you have this weekend?
.
.
.
#icecreamtruck #icecream #setlife #LosAngeles #comiccon… https://t.co/OMROkx3vAM","Los Angeles, CA",FALSE,nan
40,luzzialo,2759434221,"Tall, buff, Mulattos are so pleasing to look at, ??? #WorldCup","Miami Beach, FL",FALSE,pos
41,oranaise,21062787,@ViratKohlisEra @FIFAWorldCup Why are you hating on #Belgium? They played a great game so far.,"Austin, TX",FALSE,pos
42,dsantat,13433612,I’m going to be on a plane during BOTH #WorldCup semi-final matches https://t.co/x2CC7yIirn,"Alhambra, CA",FALSE,nan
43,edwhitemagic,18401869,In case you’ve been wondering what the English football fans are talking or singing about as they root on their tea… https://t.co/b9nAAFm5PU,"Allentown, PA",FALSE,nan
44,DavidFAHoinski,7.73E+17,"As a former resident of the country, I’ll be rooting hard for Belgium to win tomorrow’s semi-final. Go Belgium.

#2018FIFAWorldCup
#WorldCup","Morgantown, WV",FALSE,pos
45,VeroandVal,1736405455,I can’t believe the #WorldCup is almost over. ?,"San Jose, CA",FALSE,nan
46,TrentB55,38777116,"Way this set up I live like Ronaldo
but I never been in Madrid ? #begreat #worldcup #scorpion #smile #rwnb2k18  

?… https://t.co/jMxyVwSNdy","Tampa, FL",FALSE,nan
47,carlton_ana,69960922,I am enjoying the #WorldCup2018 with the usual latinos passion for soccer. This year we got more of the too often… https://t.co/0ZV51k3k3U,"Houston, TX",FALSE,nan
48,JaysonYunis,29737876,Here's what a David Beckham soccer stadium would look like.  Near Miami International Airport and provide a home fo… https://t.co/gBIDy31Xtf,"Miami, FL",FALSE,nan
49,Jackscure,33211061,"@CNBC BBC news, 8 July 2074:""in further Brexit news today,HMG announced another rd of talks scheduled ‘Her Majesty’… https://t.co/SuhuhcUBBH","Florida, USA",FALSE,nan
