State,Num Tweets,Num France,Num Belgium,Num England,Num Croatia,Fra Frac,Bel Frac,Eng Frac,Cro Frac,F Frac Err,B Frac Err,E Frac Err,C Frac Err
Alaska,3,0,1,0,2,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.27360540027881103,0.0,0.2732454310156945
Alabama,16,1,3,5,7,0.0625,0.1875,0.3125,0.4375,0.06045631360765863,0.09688787999021409,0.11606425599785905,0.12281998584762033
Arkansas,7,0,1,1,5,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.13302823786346818,0.13302823786346818,0.17207584428712877
Arizona,39,1,10,11,17,0.02564102564102564,0.2564102564102564,0.28205128205128205,0.4358974358974359,0.02537023213370138,0.07036924527013434,0.07271889719278087,0.07790036048897299
California,415,37,80,139,159,0.0891566265060241,0.1927710843373494,0.3349397590361446,0.38313253012048193,0.01594243982155699,0.024229815274833793,0.03201611213369131,0.03310309786505881
Colorado,41,3,9,15,14,0.07317073170731707,0.21951219512195122,0.36585365853658536,0.34146341463414637,0.040779368360575066,0.06439321920794314,0.07581202089981266,0.07488096068990392
Connecticut,12,1,0,7,4,0.08333333333333333,0.0,0.5833333333333334,0.3333333333333333,0.07881515902414384,0.0,0.14506656310632537,0.13863047337489745
District of Columbia,35,4,8,8,15,0.11428571428571428,0.22857142857142856,0.22857142857142856,0.42857142857142855,0.054258429364494154,0.07176545580941132,0.07176545580941132,0.08250818273243093
Delaware,2,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Florida,171,25,37,60,49,0.14619883040935672,0.21637426900584794,0.3508771929824561,0.28654970760233917,0.02896366612759272,0.03432003037077665,0.04146596686911464,0.03921775754302026
Georgia,89,10,12,31,36,0.11235955056179775,0.1348314606741573,0.34831460674157305,0.4044943820224719,0.03432961879039362,0.037250230192216356,0.05479322022364298,0.05629888888904405
Hawaii,5,2,0,3,0,0.4,0.0,0.6,0.0,0.20118386600712998,0.0,0.22117098572823696,0.0
Iowa,17,1,3,5,8,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.47058823529411764,0.05705648880833937,0.09208386554674611,0.11107150369650759,0.11979784086902671
Idaho,4,0,1,0,3,0.0,0.25,0.0,0.75,0.0,0.2177945161155349,0.0,0.2174725530482428
Illinois,105,11,21,36,37,0.10476190476190476,0.2,0.34285714285714286,0.3523809523809524,0.030797212145376358,0.04079939189461093,0.050049548885720094,0.05033898151116115
Indiana,34,0,7,12,15,0.0,0.20588235294117646,0.35294117647058826,0.4411764705882353,0.0,0.06913708238695067,0.08284558042167887,0.08489293648444908
